,car_name,price,kms_driven,fuel_type,city,year_of_manufacture
0,Hyundai Grand i10 Magna 1.2,445000,22402,Petrol,Mumbai,2016
1,Maruti Suzuki Alto 800 Lxi,293000,10344,Petrol,Kolkata,2019
2,Tata Safari XZ Plus New,2249000,12999,Diesel,Bangalore,2021
3,Maruti Suzuki Ciaz ZXI+,695000,45000,Petrol,Thane,2016
4,Jeep Compass Sport Plus 1.4,1200000,11193,Petrol,Kolkata,2019
5,Maruti Suzuki Eeco 5 STR,372000,42906,Petrol,Chennai,2017
6,Hyundai Creta SX Plus 1.6,1150000,66602,Diesel,Mumbai,2017
7,Maruti Suzuki Ertiga VXi AT,1039000,13189,Petrol,Bangalore,2019
8,Toyota Etios Liva G,375000,67815,Petrol,Mumbai,2013
9,Renault Kwid 1.0 RXT AMT,425000,19509,Petrol,Mumbai,2018
10,Maruti Suzuki Ciaz VDi+ SHVS,675000,60000,Diesel,Ahmedabad,2017
11,Maruti Suzuki Alto 800 LXi,449000,3583,Petrol,Bangalore,2019
12,Chevrolet Optra Magnum LS 2.0,300000,148000,Diesel ,Pallikarnai,2007
13,Maruti Suzuki Vitara Brezza VDi,950000,48748,Diesel,Hyderabad,2019
14,Jeep Compass Longitude 2.0 Diesel,1325000,38000,Diesel,Thane,2018
15,Toyota Corolla Altis VL AT,925000,36000,Petrol,Kolkata,2016
16,Hyundai Elite i20 Magna Executive,675000,13747,Petrol,Ahmedabad,2017
17,Mercedes-Benz EQC 400 4MATIC,9500000,3200,Electric,Pune,2022
18,Ford EcoSport Titanium 1.5L Ti-VCT,871000,12795,Petrol,Chennai,2018
19,Hyundai i10 Magna 1.2 Kappa2,335000,41273,Petrol,Mumbai,2014
20,Hyundai Creta 1.6 SX Plus,988000,20142,Petrol,Pune,2016
21,Porsche 718 Boxster,11500000,6500,Petrol,Pune,2020
22,Kia Seltos HTE 1.5 Diesel,1100000,47103,Diesel,Thane,2019
23,Maruti Suzuki Ciaz Alpha Hybrid,990000,7755,Petrol,Mumbai,2020
24,Renault Kwid 1.0 RXL [2017-2019],345000,33513,Petrol,Gurgaon,2019
25,BMW 3 Series 320d Luxury,3749000,24848,Diesel,Kolkata,2019
26,Maruti Suzuki Baleno Alpha 1.2,639000,34559,Petrol,Delhi,2017
27,Hyundai i20 Sportz 1.2 IVT,890000,4000,Petrol,Ahmedabad,2022
28,Ford EcoSport Titanium 1.5L Ti-VCT,659000,54544,Petrol,Kolkata,2018
29,Maruti Suzuki Wagon R 1.0,392000,42247,Petrol,Kolkata,2018
30,Honda Jazz VX Diesel,800000,100000,Diesel,Hyderabad,2018
31,Maruti Suzuki Swift VDi,775000,69000,Diesel,Hyderabad,2019
32,Tata Nexon XZ Plus,1152000,10422,Petrol,Delhi,2021
33,Audi Q3 35 TDI Premium,1675000,52000,Diesel,Mumbai,2014
34,Maruti Suzuki Ciaz Alpha Hybrid,850000,56255,Petrol,Ahmedabad,2019
35,Hyundai Santro Sportz CNG [2018-2020],593000,78260,CNG,Delhi,2021
36,Maruti Suzuki Alto 800 LXi,415000,19970,CNG,Bangalore,2021
37,MG Hector Plus Sharp 1.5,1850000,9070,Petrol,Ahmedabad,2020
38,Ford Figo Duratec Petrol ZXI,240000,73000,Petrol,Thane,2013
39,Audi Q3 2.0 TDI Base,1199000,46336,Diesel,Kolkata,2015
40,Hyundai Creta SX Plus 1.6,895000,57220,Petrol,Thane,2016
41,Honda Jazz ZX,968000,7096,Petrol,Pune,2021
42,Mercedes-Benz EQC 400 4MATIC,8100000,21500,Electric,Bangalore,2020
43,Hyundai Grand i10 Asta 1.2,493000,44045,Petrol,Pune,2015
44,BMW X1 sDrive20d,1050000,70000,Diesel,Kolkata,2013
45,Maruti Suzuki Swift ZDi Plus,785000,32853,Diesel,Thane,2018
46,BMW 5 Series 520d Luxury,3899000,26781,Diesel,Kolkata,2017
47,Skoda Superb L&K TSI AT,3100000,45700,Petrol,Ahmedabad,2021
48,Maruti Suzuki Swift DZire VXI,485000,62000,Petrol,Thane,2014
49,Maruti Suzuki Wagon R 1.0,435000,73500,CNG,Thane,2017
50,Maruti Suzuki Wagon R 1.0,451000,74076,CNG,Pune,2017
51,Tata Tiago Revotron XZA,545000,56355,Petrol,Mumbai,2018
52,Tata Tiago Revotron XT [2016-2019],450000,37000,Petrol,Thane,2017
53,Maruti Suzuki Wagon R LXi,681000,22158,CNG,Pune,2021
54,Hyundai Xcent S 1.2,395000,62568,Petrol,Noida,2014
55,Kia Seltos HTK 1.5 [2020-2021],1143000,19970,Petrol,Pune,2019
56,BMW 5 Series 520d Luxury,2300000,73900,Diesel,Ahmedabad,2015
57,Kia Seltos HTE 1.5,1050000,37991,Petrol,Thane,2020
58,Hyundai Creta 1.6 SX Plus,1275000,58676,Petrol,Mumbai,2018
59,Hyundai Grand i10 Sportz (O),599000,35104,Petrol,Bangalore,2017
60,Kia Seltos GTX 1.4 Dual,1620000,51605,Petrol,Pune,2019
61,Maruti Suzuki S-Presso VXi,420000,17472,Petrol,Delhi,2020
